Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Allow customer reviews?","Regular price",Categories,Tags,Images,Parent,Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _virtual","Meta: bville_id"
simple,BVL-BURGERS-CHEESE-DELUXE,"Cheese Deluxe",1,0,visible,"With lettuce, tomato, onion & American cheese","With lettuce, tomato, onion & American cheese",taxable,,1,,0,0,0,10.95,Burgers,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/burgers-cheese-deluxe.jpg,,25,,,,,yes,burgers-cheese-deluxe
simple,BVL-BURGERS-THE-FRY,"The Fry",1,0,visible,"Breaded chicken cutlet, coleslaw & pickles with fry sauce","Breaded chicken cutlet, coleslaw & pickles with fry sauce",taxable,,1,,0,0,0,10.95,Burgers,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/burgers-the-fry.jpg,,26,,,,,yes,burgers-the-fry
simple,BVL-BURGERS-BOOM-BOOM,"Boom Boom",1,0,visible,"Naked (no bun) lettuce, tomato, avocado, bacon & boom-boom sauce","Naked (no bun) lettuce, tomato, avocado, bacon & boom-boom sauce",taxable,,1,,0,0,0,11.95,Burgers,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/burgers-boom-boom.jpg,,27,,,,,yes,burgers-boom-boom
simple,BVL-BURGERS-CHETZEL,Chetzel,1,0,visible,"Bacon, melted cheddar & jack cheese served on toasted pretzel bun","Bacon, melted cheddar & jack cheese served on toasted pretzel bun",taxable,,1,,0,0,0,12.95,Burgers,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/burgers-chetzel.jpg,,28,,,,,yes,burgers-chetzel
simple,BVL-BURGERS-SHROOM,Shroom,1,0,visible,"Sautéed mushrooms & onions with swiss","Sautéed mushrooms & onions with swiss",taxable,,1,,0,0,0,10.95,Burgers,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/burgers-shroom.jpg,,29,,,,,yes,burgers-shroom
simple,BVL-BURGERS-FALAFEL,"Falafel Burger",1,0,visible,"Lettuce, tomato, & pickle with tahini sauce","Lettuce, tomato, & pickle with tahini sauce",taxable,,1,,0,0,0,9.95,Burgers,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/burgers-falafel.jpg,,30,,,,,yes,burgers-falafel
simple,BVL-WRAPS-CHICKEN-CAESAR,"Grilled Chicken Caesar",1,0,visible,"Romaine lettuce, Parmesan cheese & homemade creamy Caesar dressing","Romaine lettuce, Parmesan cheese & homemade creamy Caesar dressing",taxable,,1,,0,0,0,9.95,"Wrap & Roll","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/wraps-chicken-caesar.jpg,,31,,,,,yes,wraps-chicken-caesar
simple,BVL-WRAPS-BUFFALO-CHICKEN,"Buffalo Chicken",1,0,visible,"Breaded chicken tossed in buffalo sauce with lettuce, tomato & blue cheese","Breaded chicken tossed in buffalo sauce with lettuce, tomato & blue cheese",taxable,,1,,0,0,0,9.95,"Wrap & Roll","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/wraps-buffalo-chicken.jpg,,32,,,,,yes,wraps-buffalo-chicken
simple,BVL-WRAPS-GYRO,Gyro,1,0,visible,"Choice of thinly sliced chicken or lamb with lettuce, tomato & onion with tzatziki sauce on pita wrap","Choice of thinly sliced chicken or lamb with lettuce, tomato & onion with tzatziki sauce on pita wrap",taxable,,1,,0,0,0,9.95,"Wrap & Roll","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/wraps-gyro.jpg,,33,,,,,yes,wraps-gyro
simple,BVL-WRAPS-SHAWARMA,Shawarma,1,0,visible,"Thinly sliced chicken grilled to perfection, with lettuce, tomato, onion & garlic sauce","Thinly sliced chicken grilled to perfection, with lettuce, tomato, onion & garlic sauce",taxable,,1,,0,0,0,9.95,"Wrap & Roll","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/wraps-shawarma.jpg,,34,,,,,yes,wraps-shawarma
simple,BVL-WRAPS-FALAFEL,Falafel,1,0,visible,"Lettuce, tomato, tahini & hummus on pita wrap","Lettuce, tomato, tahini & hummus on pita wrap",taxable,,1,,0,0,0,8.95,"Wrap & Roll","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/wraps-falafel.jpg,,35,,,,,yes,wraps-falafel
simple,BVL-WRAPS-KEBAB,Kebab,1,0,visible,"Chicken with lettuce, tomato & onion, garlic sauce on pita wrap","Chicken with lettuce, tomato & onion, garlic sauce on pita wrap",taxable,,1,,0,0,0,9.95,"Wrap & Roll","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/wraps-kebab.jpg,,36,,,,,yes,wraps-kebab
simple,BVL-WRAPS-MILANESE,"Chicken Milanese",1,0,visible,"Breaded chicken, mozzarella cheese, arugula, roasted red peppers, red onions with balsamic vinaigrette","Breaded chicken, mozzarella cheese, arugula, roasted red peppers, red onions with balsamic vinaigrette",taxable,,1,,0,0,0,9.95,"Wrap & Roll","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/wraps-milanese.jpg,,37,,,,,yes,wraps-milanese
simple,BVL-WRAPS-HONEY-CHICKEN,"Honey Chicken",1,0,visible,"Breaded chicken, lettuce, tomato & crispy bacon with honey mustard","Breaded chicken, lettuce, tomato & crispy bacon with honey mustard",taxable,,1,,0,0,0,9.95,"Wrap & Roll","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/wraps-honey-chicken.jpg,,38,,,,,yes,wraps-honey-chicken
simple,BVL-PASTA-PENNE-VODKA,"Penne Alla Vodka",1,0,visible,"Penne pasta tossed in a creamy pink sauce (try it spicy)","Penne pasta tossed in a creamy pink sauce (try it spicy)",taxable,,1,,0,0,0,13.95,Pastabilities,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pasta-penne-vodka.jpg,,39,,,,,yes,pasta-penne-vodka
simple,BVL-PASTA-BOLOGNESE,"Pasta Bolognese",1,0,visible,"Diced onions, fresh garlic & ground beef, sautéed then cooked in our homemade marinara sauce & touch of cream","Diced onions, fresh garlic & ground beef, sautéed then cooked in our homemade marinara sauce & touch of cream",taxable,,1,,0,0,0,15.95,Pastabilities,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pasta-bolognese.jpg,,40,,,,,yes,pasta-bolognese
simple,BVL-PASTA-MARINARA,"Pasta Marinara",1,0,visible,"Penne pasta with our homemade marinara sauce","Penne pasta with our homemade marinara sauce",taxable,,1,,0,0,0,9.95,Pastabilities,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pasta-marinara.jpg,,41,,,,,yes,pasta-marinara
simple,BVL-PASTA-CAJUN-ALFREDO,"Cajun Alfredo",1,0,visible,"Roasted red peppers and bacon sautéed then tossed in a creamy alfredo sauce","Roasted red peppers and bacon sautéed then tossed in a creamy alfredo sauce",taxable,,1,,0,0,0,14.95,Pastabilities,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pasta-cajun-alfredo.jpg,,42,,,,,yes,pasta-cajun-alfredo
simple,BVL-PASTA-TORTELLINI-LEO,"Tortellini Leo",1,0,visible,"Tricolor cheese tortellini pasta, sun-dried tomatoes, fresh spinach & fresh garlic sautéed in creamy pink vodka sauce topped with pecorino cheese","Tricolor cheese tortellini pasta, sun-dried tomatoes, fresh spinach & fresh garlic sautéed in creamy pink vodka sauce topped with pecorino cheese",taxable,,1,,0,0,0,14.95,Pastabilities,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pasta-tortellini-leo.jpg,,43,,,,,yes,pasta-tortellini-leo
simple,BVL-CHEESESTEAK-PHILLY,"Philly Cheesesteak",1,0,visible,"Shredded steak, onions, peppers with American cheese","Shredded steak, onions, peppers with American cheese",taxable,,1,,0,0,0,9.95,Cheesesteak,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/cheesesteak-philly.jpg,,44,,,,,yes,cheesesteak-philly
simple,BVL-CHEESESTEAK-JERSEY,"Jersey Cheesesteak",1,0,visible,"With brown gravy potatoes & mozzarella cheese","With brown gravy potatoes & mozzarella cheese",taxable,,1,,0,0,0,10.95,Cheesesteak,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/cheesesteak-jersey.jpg,,45,,,,,yes,cheesesteak-jersey
simple,BVL-CHEESESTEAK-CALIFORNIA,"California Cheesesteak",1,0,visible,"With lettuce, tomato, mayonnaise & American cheese","With lettuce, tomato, mayonnaise & American cheese",taxable,,1,,0,0,0,10.95,Cheesesteak,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/cheesesteak-california.jpg,,46,,,,,yes,cheesesteak-california
