ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default"
25,simple,BVL-BURGERS-CLASSIC,Classic,1,0,visible,"With lettuce, tomato & onion","With lettuce, tomato & onion",taxable,,1,,,,,,,,,1,,,9.95,Burgers,,,assets/photos/menu/burgers-classic.jpg,,,,,,,,,24
26,simple,BVL-BURGERS-CHEESE-DELUXE,"Cheese Deluxe",1,0,visible,"With lettuce, tomato, onion & American cheese","With lettuce, tomato, onion & American cheese",taxable,,1,,,,,,,,,1,,,10.95,Burgers,,,assets/photos/menu/burgers-cheese-deluxe.jpg,,,,,,,,,25
27,simple,BVL-BURGERS-THE-FRY,"The Fry",1,0,visible,"Breaded chicken cutlet, coleslaw & pickles with fry sauce","Breaded chicken cutlet, coleslaw & pickles with fry sauce",taxable,,1,,,,,,,,,1,,,10.95,Burgers,,,assets/photos/menu/burgers-the-fry.jpg,,,,,,,,,26
28,simple,BVL-BURGERS-BOOM-BOOM,"Boom Boom",1,0,visible,"Naked (no bun) lettuce, tomato, avocado, bacon & boom-boom sauce","Naked (no bun) lettuce, tomato, avocado, bacon & boom-boom sauce",taxable,,1,,,,,,,,,1,,,11.95,Burgers,,,assets/photos/menu/burgers-boom-boom.jpg,,,,,,,,,27
29,simple,BVL-BURGERS-CHETZEL,Chetzel,1,0,visible,"Bacon, melted cheddar & jack cheese served on toasted pretzel bun","Bacon, melted cheddar & jack cheese served on toasted pretzel bun",taxable,,1,,,,,,,,,1,,,12.95,Burgers,,,assets/photos/menu/burgers-chetzel.jpg,,,,,,,,,28
30,simple,BVL-BURGERS-SHROOM,Shroom,1,0,visible,"Sautéed mushrooms & onions with swiss","Sautéed mushrooms & onions with swiss",taxable,,1,,,,,,,,,1,,,10.95,Burgers,,,assets/photos/menu/burgers-shroom.jpg,,,,,,,,,29
31,simple,BVL-BURGERS-FALAFEL,"Falafel Burger",1,0,visible,"Lettuce, tomato, & pickle with tahini sauce","Lettuce, tomato, & pickle with tahini sauce",taxable,,1,,,,,,,,,1,,,9.95,Burgers,,,assets/photos/menu/burgers-falafel.jpg,,,,,,,,,30
32,simple,BVL-WRAPS-CHICKEN-CAESAR,"Grilled Chicken Caesar",1,0,visible,"Romaine lettuce, Parmesan cheese & homemade creamy Caesar dressing","Romaine lettuce, Parmesan cheese & homemade creamy Caesar dressing",taxable,,1,,,,,,,,,1,,,9.95,"Wrap & Roll",,,assets/photos/menu/wraps-chicken-caesar.jpg,,,,,,,,,31
33,simple,BVL-WRAPS-BUFFALO-CHICKEN,"Buffalo Chicken",1,0,visible,"Breaded chicken tossed in buffalo sauce with lettuce, tomato & blue cheese","Breaded chicken tossed in buffalo sauce with lettuce, tomato & blue cheese",taxable,,1,,,,,,,,,1,,,9.95,"Wrap & Roll",,,assets/photos/menu/wraps-buffalo-chicken.jpg,,,,,,,,,32
34,simple,BVL-WRAPS-GYRO,Gyro,1,0,visible,"Choice of thinly sliced chicken or lamb with lettuce, tomato & onion with tzatziki sauce on pita wrap","Choice of thinly sliced chicken or lamb with lettuce, tomato & onion with tzatziki sauce on pita wrap",taxable,,1,,,,,,,,,1,,,9.95,"Wrap & Roll",,,assets/photos/menu/wraps-gyro.jpg,,,,,,,,,33
35,simple,BVL-WRAPS-SHAWARMA,Shawarma,1,0,visible,"Thinly sliced chicken grilled to perfection, with lettuce, tomato, onion & garlic sauce","Thinly sliced chicken grilled to perfection, with lettuce, tomato, onion & garlic sauce",taxable,,1,,,,,,,,,1,,,9.95,"Wrap & Roll",,,assets/photos/menu/wraps-shawarma.jpg,,,,,,,,,34
